,index,user.id,image,emotion,image_size
0,5563,302,James_May_0001.jpg,neutral,"(350, 350)"
1,3277,302,Elton_John_0002.jpg,surprise,"(350, 350)"
2,10143,dwdii,Recep_Tayyip_Erdogan_0022.jpg,neutral,"(350, 350)"
3,1636,302,Carlos_Menem_0018.jpg,neutral,"(350, 350)"
4,11324,dwdii,Stephane_Rousseau_0001.jpg,happiness,"(350, 350)"
5,6267,dwdii,Joe_DeLamielleure_0001.jpg,happiness,"(350, 350)"
6,6468,dwdii,John_Howard_0018.jpg,happiness,"(350, 350)"
7,11885,dwdii,Tom_Daschle_0023.jpg,surprise,"(350, 350)"
8,1231,302,Bill_Gates_0007.jpg,neutral,"(350, 350)"
9,1833,302,Charles_Moose_0002.jpg,anger,"(350, 350)"
10,5483,302,Jake_Gyllenhaal_0003.jpg,neutral,"(350, 350)"
11,6682,dwdii,Jon_Gruden_0003.jpg,neutral,"(350, 350)"
12,1719,302,Carrie-Anne_Moss_0001.jpg,neutral,"(350, 350)"
13,10189,dwdii,Rhett_Warrener_0001.jpg,happiness,"(350, 350)"
14,2266,302,Colin_Powell_0153.jpg,neutral,"(350, 350)"
15,10298,dwdii,Richard_Myers_0015.jpg,neutral,"(350, 350)"
16,11724,dwdii,Tim_Chapman_0002.jpg,neutral,"(350, 350)"
17,6347,dwdii,John_Ashcroft_0008.jpg,neutral,"(350, 350)"
18,5905,dwdii,Jennifer_Aniston_0006.jpg,neutral,"(350, 350)"
19,3489,302,Fernando_Henrique_Cardoso_0001.jpg,happiness,"(350, 350)"
20,6168,dwdii,Jim_Furyk_0006.jpg,neutral,"(350, 350)"
21,4068,302,George_W_Bush_0270.jpg,neutral,"(350, 350)"
22,7687,JN721,Lesia_Burlak_0001.jpg,happiness,"(350, 350)"
23,2062,302,Claudette_Robinson_0001.jpg,happiness,"(350, 350)"
24,49,302,Abdullah_Gul_0019.jpg,neutral,"(350, 350)"
25,3426,302,Eve_Pelletier_0002.jpg,happiness,"(350, 350)"
26,8785,dwdii,Miguel_Cotto_0001.jpg,neutral,"(350, 350)"
27,4781,302,Hadley_Bilger_0001.jpg,happiness,"(350, 350)"
28,8036,dwdii,Mahathir_Mohamad_0002.jpg,happiness,"(350, 350)"
29,2333,302,Colin_Powell_0220.jpg,neutral,"(350, 350)"
30,5121,302,Hugh_Grant_0003.jpg,happiness,"(350, 350)"
31,3131,302,Eduardo_Duhalde_0001.jpg,neutral,"(350, 350)"
32,9681,dwdii,Paul_Tracy_0001.jpg,neutral,"(350, 350)"
33,10981,dwdii,Sean_Patrick_OMalley_0001.jpg,happiness,"(350, 350)"
34,8848,dwdii,Mike_Scioscia_0002.jpg,happiness,"(350, 350)"
35,17,302,Abdel_Aziz_Al-Hakim_0001.jpg,neutral,"(350, 350)"
